,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
第八回　商工省輸出品包装展覧会,商工,省,輸出,品,包装,展覧,会,,,,,,,,,,,,,
聖保禄高女バザー,聖,保,禄,高女,バザー,,,,,,,,,,,,,,,
第一回函館特産品展覧会,函館,特産,品,展覧,会,,,,,,,,,,,,,,,
第四回北海全道家禽共進会,北海,全道,家禽,共進,会,,,,,,,,,,,,,,,
第十一回函館没馬能力共進会,函館,没,馬,能力,共進,会,,,,,,,,,,,,,,
埼玉甘藷,埼玉,甘藷,,,,,,,,,,,,,,,,,,
レート,レート,,,,,,,,,,,,,,,,,,,
アセモ・タダレの最新薬　シッカロール,アセモ,タダレ,最新,薬,シッカロール,,,,,,,,,,,,,,,
大津屋　太平商店,大津屋,太平,商店,,,,,,,,,,,,,,,,,
郵便壁新聞,郵便,壁,新聞,,,,,,,,,,,,,,,,,
郵便壁新聞特集号,郵便,壁,新聞,特集,号,,,,,,,,,,,,,,,
北海道百年記念＝作文・論文の募集,北海道,記念,作文,論文,募集,,,,,,,,,,,,,,,
フレッシュ絹上布,絹,上布,,,,,,,,,,,,,,,,,,
秩父銘仙,秩父,銘仙,,,,,,,,,,,,,,,,,,
江戸自慢御裏地,江戸,自慢,裏地,,,,,,,,,,,,,,,,,
村山大島紬,村山,大島,紬,,,,,,,,,,,,,,,,,
本場秩父銘仙,本場,秩父,銘仙,,,,,,,,,,,,,,,,,
サムライ兄弟商会,サムライ,兄弟,商会,,,,,,,,,,,,,,,,,
箱館一番日本事始め物語　[カレンダー],箱館,日本,事始め,物語,カレンダー,,,,,,,,,,,,,,,
出版記念フォーラム,出版,記念,フォーラム,,,,,,,,,,,,,,,,,
函館浪漫地詩図夢,函館,浪漫,地,詩,図,夢,,,,,,,,,,,,,,
函館浪漫地詩図夢Ⅱ,函館,浪漫,地,詩,図,夢,,,,,,,,,,,,,,
箱館一番日本事始め物語　[カレンダー],箱館,日本,事始め,物語,カレンダー,,,,,,,,,,,,,,,
青函博（函館EXPO’88）協賛特別企画,青函,博,函館,EXPO,協賛,企画,,,,,,,,,,,,,,
田辺三重松展,田辺,三重松,展,,,,,,,,,,,,,,,,,
森屋,森屋,,,,,,,,,,,,,,,,,,,
チェリー,チェリー,,,,,,,,,,,,,,,,,,,
ピンヘット,ヘット,,,,,,,,,,,,,,,,,,,
