,title,wakati_title
po000213,春の交通安全運動,"['春', '交通安全運動']"
po000214,北海道中堅青年海外派遣団員募集,"['北海道', '中堅', '青年', '海外', '派遣', '団', '員', '募集']"
po000215,文芸春秋　文化講演会,"['文芸春秋', '文化講演会']"
po000216,お子さまの夢を育てましょう,"['お子さま', '夢']"
po000217,第24回学生広告論文伝通賞作品募集,"['24回', '学生', '広告', '論文', '伝', '通', '賞', '作品募集']"
po000218,第6回　北海道秀作美術展,"['6回', '北海道', '秀作', '美術', '展']"
po000219,函館信用金庫　CALENDAR1970,"['函館信用金庫: error', 'CALENDAR', '1970']"
po000220,航空管制官募集,"['航空管制官', '募集']"
po000221,’73　白楊祭,"['73', '白楊', '祭']"
po000222,昭和48年度　北海道図書館大会,"['昭和48年', '度', '北海道', '図書館', '大会']"
po000223,昭和49年度　慶應義塾大学通信教育部学生募集,"['昭和49年', '度', '慶應義塾大学', '通信', '教育部', '学生', '募集']"
po000224,函館市民会館落成記念バレエフェスティバル,"['函館市民会館', '落成', '記念', 'バレエ', 'フェスティバル']"
po000226,明治はるあき,"['明治', 'はるあ']"
po000227,第11回北海道人形劇フェスティバル,"['11回', '北海道', '人形劇', 'フェスティバル']"
po000228,第7回奨学論文コンテスト,"['7回', '奨学', '論文', 'コンテスト']"
po000229,教護になりませんか　第二十七期生募集,"['教護', '二', '十', '七', '期生', '募集']"
po000231,芸術祭バレエ北海道公演　第10回東京バレエグループ公演,"['芸術祭', 'バレエ', '北海道', '公演', '10回', '東京', 'バレエ', 'グループ', '公演']"
po000233,第10回全国青年政治討論会,"['10回', '全国', '青年', '政治', '討論会']"
po000234,うれしい便り大切な手紙みんな郵便受けで,"['便り', '大切', '手紙', 'みんな', '郵便受け']"
po000235,利子の引きあげ,"['利子', '引きあげ']"
po000236,第22回学生広告論文電通賞作品募集,"['22回', '学生', '広告', '論文', '電通', '賞', '作品募集']"
po000237,第9回海洋少年団北海道大会,"['9回', '海洋少年団', '北海道', '大会']"
po000238,高校生の作文募集　税金についての意見や感想を書いてみよう,"['高校生', '作文', '募集', '税金', '意見', '感想']"
po000239,札幌オリンピック善意通訳募集,"['札幌オリンピック', '善意', '通訳', '募集']"
po000240,アポロのようにスピーディで確実な郵便のおとどけ郵便番号がそれをお約束します,"['アポロ', 'よう', 'スピーディ', '確実', '郵便', '郵便番号', 'それ', 'お約束']"
po000241,第3期　成人学校受講生募集,"['3期', '成人', '学校', '受講', '生', '募集']"
po000242,海上保安大学校　水路科・燈台科・普通科　気象大学校学生募集,"['海上保安大学校', '水路', '科', '燈台', '科', '普通科', '気象大学校: error', '学生', '募集']"
po000243,第14回こどもの読書週間,"['14回', 'こども', '読書週間']"
po000247,夏のレジャーは忍路へ,"['夏', 'レジャー', '忍路']"
po000248,松前,['松前']
po000249,オリンピックへぼくらの代表選手を！,"['オリンピック', 'ぼくら', '代表選手']"
po000250,札幌オリンピックを成功させよう。北海道,"['札幌オリンピック', '成功', '北海道']"
po000252,国家公務員募集,"['国家公務員', '募集']"
po000254,千代田学園　旧千代田テレビ技術学校,"['千代田学園', '千代田', 'テレビ', '技術', '学校']"
po000256,宿泊施設ご案内,"['宿泊施設', '案内']"
po000258,さくらと史蹟の名所　松前,"['さくら', '史蹟', '名所', '松前']"
po000260,物価抑制特別貯蓄運動,"['物価', '抑制', '特別', '貯蓄', '運動']"
po000262,きれいな海のきれいな魚,"['きれいな', '海', 'きれいな', '魚']"
po000263,ひとりで行かないムリしない,"['ムリ', 'しない']"
po000264,学生募集　学士号授与　教職課程併設,"['学生', '募集', '学士号', '授与', '教職課程', '併設']"
po000265,近代詩歌展《その三》　明治・大正の詩人たち,"['近代', '詩歌', '展', '三', '明治', '大正', '詩人', 'たち']"
po000267,国家公務員募集,"['国家公務員', '募集']"
po000268,よみがえる都市河川,"['都市', '河川']"
po000269,№38　青少年フォトニュース,"['38', '青少年', 'フォト', 'ニュース']"
po000270,国際フォトニュース　NOWな青春若人の祭典！,"['国際', 'フォト', 'ニュース', 'NOW', '青春', '若人', '祭典']"
po000271,PhotoStudy1973№5,"['PhotoStudy: error', '1973', '5']"
po000272,PhotoStudy1973№7,"['PhotoStudy: error', '1973', '7']"
po000273,PhotoStudy1973　№9,"['PhotoStudy: error', '1973', '9']"
po000274,PhotoStudy1973,"['PhotoStudy: error', '1973']"
po000275,まりもを故郷え　代りに素晴らしい人造まりもが生れました,"['まりも', '故郷', '代り', '人造', 'まりも']"
po000276,マリモを大切に…,"['マリモ', '大切']"
po000277,TheTokyoNichi=Nichi,"['TheTokyoNichi: error', 'Nichi']"
po000278,国際フォトニュース　海原はるか硫黄島,"['国際', 'フォト', 'ニュース', '海原はるか', '硫黄島']"
po000282,日清汽船株式会社,"['日清汽船: error', '株式会社']"
po000284,足利本銘仙,"['足利', '銘仙']"
po000285,住みよい社会をつくる郵便貯金,"['社会', '郵便貯金']"
po000288,婦人公論　9月号,"['婦人公論', '9月', '号']"
po000291,友愛は心の財産　,"['友愛', '心', '財産']"
po000292,水道があって明るい今日がある　6月1日～7日/第12回・水道週間　,"['水道', '今日', '6月1日', '7日', '12回', '水道週間: error']"
po000294,鯖戸英郎氏・サルコリー氏・ハース氏・ヘンリエッタペレス夫人　演奏会,"['鯖戸: error', '英郎', '氏', 'サル', 'コリー', '氏', 'ハース', '氏', 'ヘンリエッタ', 'ペレス', '夫人', '演奏会']"
po000295,ヴエス軍作画展,"['ヴエス: error', '軍', '作画', '展']"
po000296,ヘレンケラー女史大衆講演会,"['ヘレンケラー', '女史', '大衆', '講演会']"
po000297,天間正五朗　前田政雄　版画展,"['天間', '正五', '朗', '前田', '政雄', '版画', '展']"
po000298,岡田紅陽作品　四季の富士写真展覧会,"['岡田紅陽: error', '作品', '四季', '富士', '写真', '展覧会']"
po000299,前田政雄個人版画展覧会,"['前田', '政雄', '個人', '版画', '展覧会']"
po000300,第三回　彩人社洋画展,"['三', '回', '彩人', '社', '洋画', '展']"
po000301,洋画家　半切画展覧会,"['洋画家', '半切', '画', '展覧会']"
po000302,小村真太郎　洋画版画展覧会,"['小村', '真太郎', '洋画', '版画', '展覧会']"
po000304,第九十七回　札幌修身講話会,"['九', '十', '七', '回', '札幌', '修身', '講話', '会']"
po000305,第10回　札幌修身講話会,"['10回', '札幌', '修身', '講話', '会']"
